epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.025,1.01234,2.39005,1.43302,0.60849,0.70665,0.69069,0.48999,1.00924,1.8062,1.50825,0.000332583,0.000332583,0.000332583
2,202.565,1.05804,1.72047,1.43243,0.71177,0.69197,0.74132,0.53442,1.03415,1.35788,1.47022,0.000652731,0.000652731,0.000652731
3,298.694,1.07211,1.5078,1.44035,0.74075,0.67749,0.71551,0.49152,1.16497,1.44022,1.58938,0.000959679,0.000959679,0.000959679
4,396.851,1.02911,1.37605,1.4107,0.78566,0.65189,0.72388,0.50405,1.10064,1.27792,1.55307,0.0009406,0.0009406,0.0009406
5,496.238,1.01189,1.25505,1.40035,0.82553,0.72235,0.82266,0.58585,1.022,1.01118,1.44331,0.0009208,0.0009208,0.0009208
6,588.654,0.99498,1.15087,1.37216,0.79934,0.76517,0.82298,0.59547,1.01793,0.97938,1.44219,0.000901,0.000901,0.000901
7,663.652,0.97203,1.0965,1.36424,0.90489,0.79777,0.87318,0.63309,0.95917,0.83484,1.37444,0.0008812,0.0008812,0.0008812
8,740.3,0.94934,1.04126,1.34602,0.86146,0.82269,0.88342,0.6574,0.9335,0.78004,1.34642,0.0008614,0.0008614,0.0008614
9,821.414,0.92599,0.99506,1.33313,0.86865,0.83011,0.88971,0.66011,0.90744,0.76079,1.3447,0.0008416,0.0008416,0.0008416
10,910.204,0.91506,0.95112,1.31859,0.84614,0.85139,0.8848,0.65702,0.868,0.75625,1.29416,0.0008218,0.0008218,0.0008218
11,992.918,0.88655,0.89979,1.30022,0.89538,0.82076,0.88286,0.66695,0.91038,0.7272,1.33152,0.000802,0.000802,0.000802
12,1080.26,0.88119,0.86548,1.29389,0.86148,0.81777,0.87253,0.62428,0.95677,0.755,1.37822,0.0007822,0.0007822,0.0007822
13,1179.41,0.85427,0.8419,1.28567,0.88858,0.8548,0.91041,0.70893,0.83212,0.68861,1.26612,0.0007624,0.0007624,0.0007624
14,1278.46,0.85273,0.83433,1.27634,0.92617,0.829,0.91002,0.69435,0.84424,0.62229,1.27571,0.0007426,0.0007426,0.0007426
15,1373.13,0.84856,0.81265,1.26823,0.88753,0.87918,0.91578,0.71175,0.82443,0.64201,1.24639,0.0007228,0.0007228,0.0007228
16,1470.27,0.81845,0.78142,1.25115,0.90627,0.85701,0.90028,0.69879,0.82195,0.66164,1.26644,0.000703,0.000703,0.000703
17,1563.15,0.81949,0.77842,1.25069,0.92432,0.87164,0.92432,0.70853,0.803,0.60556,1.24754,0.0006832,0.0006832,0.0006832
